productCode,productName,productSlug,sku,colour,size,quantity,unitCostZar,lineTransferValueZar,approvedSellingPriceZar,costBasis,sourceFamily,basisNote,provisional,seller,buyer,legalSellerAfterTransfer,brand,category,enabled,availability
P002,KS Active Halter Back Romper,ks-active-halter-back-romper,KS-ARCH-P002-ARMGR-L,Army Green,L,1,220.0,220.0,799.0,January 2023 Order.xlsx family: hallow-back-romper,hallow-back-romper,Direct January 2023 family match,False,K SENTWA T/A KS ACTIVE,KALM COLLECTIVE (PTY) LTD,KALM COLLECTIVE (PTY) LTD,KS Active,KS Active Archive,True,low_stock
P002,KS Active Halter Back Romper,ks-active-halter-back-romper,KS-ARCH-P002-ARMGR-M,Army Green,M,1,220.0,220.0,799.0,January 2023 Order.xlsx family: hallow-back-romper,hallow-back-romper,Direct January 2023 family match,False,K SENTWA T/A KS ACTIVE,KALM COLLECTIVE (PTY) LTD,KALM COLLECTIVE (PTY) LTD,KS Active,KS Active Archive,True,low_stock
P002,KS Active Halter Back Romper,ks-active-halter-back-romper,KS-ARCH-P002-ARMGR-S,Army Green,S,1,220.0,220.0,799.0,January 2023 Order.xlsx family: hallow-back-romper,hallow-back-romper,Direct January 2023 family match,False,K SENTWA T/A KS ACTIVE,KALM COLLECTIVE (PTY) LTD,KALM COLLECTIVE (PTY) LTD,KS Active,KS Active Archive,True,low_stock
P002,KS Active Halter Back Romper,ks-active-halter-back-romper,KS-ARCH-P002-EGYBL-M,Egyptian Blue,M,2,220.0,440.0,799.0,January 2023 Order.xlsx family: hallow-back-romper,hallow-back-romper,Direct January 2023 family match,False,K SENTWA T/A KS ACTIVE,KALM COLLECTIVE (PTY) LTD,KALM COLLECTIVE (PTY) LTD,KS Active,KS Active Archive,True,low_stock
P002,KS Active Halter Back Romper,ks-active-halter-back-romper,KS-ARCH-P002-ELEVI-M,Electric Violet,M,1,220.0,220.0,799.0,January 2023 Order.xlsx family: hallow-back-romper,hallow-back-romper,Direct January 2023 family match,False,K SENTWA T/A KS ACTIVE,KALM COLLECTIVE (PTY) LTD,KALM COLLECTIVE (PTY) LTD,KS Active,KS Active Archive,True,low_stock
P002,KS Active Halter Back Romper,ks-active-halter-back-romper,KS-ARCH-P002-ELEVI-S,Electric Violet,S,1,220.0,220.0,799.0,January 2023 Order.xlsx family: hallow-back-romper,hallow-back-romper,Direct January 2023 family match,False,K SENTWA T/A KS ACTIVE,KALM COLLECTIVE (PTY) LTD,KALM COLLECTIVE (PTY) LTD,KS Active,KS Active Archive,True,low_stock
P002,KS Active Halter Back Romper,ks-active-halter-back-romper,KS-ARCH-P002-IMPRE-M,Imperial Red,M,1,220.0,220.0,799.0,January 2023 Order.xlsx family: hallow-back-romper,hallow-back-romper,Direct January 2023 family match,False,K SENTWA T/A KS ACTIVE,KALM COLLECTIVE (PTY) LTD,KALM COLLECTIVE (PTY) LTD,KS Active,KS Active Archive,True,low_stock
P002,KS Active Halter Back Romper,ks-active-halter-back-romper,KS-ARCH-P002-IMPRE-S,Imperial Red,S,1,220.0,220.0,799.0,January 2023 Order.xlsx family: hallow-back-romper,hallow-back-romper,Direct January 2023 family match,False,K SENTWA T/A KS ACTIVE,KALM COLLECTIVE (PTY) LTD,KALM COLLECTIVE (PTY) LTD,KS Active,KS Active Archive,True,low_stock
P002,KS Active Halter Back Romper,ks-active-halter-back-romper,KS-ARCH-P002-MIDBL-L,Midnight Black,L,1,220.0,220.0,799.0,January 2023 Order.xlsx family: hallow-back-romper,hallow-back-romper,Direct January 2023 family match,False,K SENTWA T/A KS ACTIVE,KALM COLLECTIVE (PTY) LTD,KALM COLLECTIVE (PTY) LTD,KS Active,KS Active Archive,True,low_stock
P002,KS Active Halter Back Romper,ks-active-halter-back-romper,KS-ARCH-P002-MIDBL-M,Midnight Black,M,1,220.0,220.0,799.0,January 2023 Order.xlsx family: hallow-back-romper,hallow-back-romper,Direct January 2023 family match,False,K SENTWA T/A KS ACTIVE,KALM COLLECTIVE (PTY) LTD,KALM COLLECTIVE (PTY) LTD,KS Active,KS Active Archive,True,low_stock
P003,KS Active Rib Scrunch Legging,ks-active-rib-scrunch-legging,KS-ARCH-P003-ASHGR-L,Ash Gray,L,1,160.0,160.0,499.0,January 2023 Order.xlsx family: seamless-high-stretch-scrunch-butt-leggings,seamless-high-stretch-scrunch-butt-leggings,Direct January 2023 family match,False,K SENTWA T/A KS ACTIVE,KALM COLLECTIVE (PTY) LTD,KALM COLLECTIVE (PTY) LTD,KS Active,KS Active Archive,True,low_stock
P003,KS Active Rib Scrunch Legging,ks-active-rib-scrunch-legging,KS-ARCH-P003-ASHGR-M,Ash Gray,M,1,160.0,160.0,499.0,January 2023 Order.xlsx family: seamless-high-stretch-scrunch-butt-leggings,seamless-high-stretch-scrunch-butt-leggings,Direct January 2023 family match,False,K SENTWA T/A KS ACTIVE,KALM COLLECTIVE (PTY) LTD,KALM COLLECTIVE (PTY) LTD,KS Active,KS Active Archive,True,low_stock
P003,KS Active Rib Scrunch Legging,ks-active-rib-scrunch-legging,KS-ARCH-P003-ASHGR-S,Ash Gray,S,1,160.0,160.0,499.0,January 2023 Order.xlsx family: seamless-high-stretch-scrunch-butt-leggings,seamless-high-stretch-scrunch-butt-leggings,Direct January 2023 family match,False,K SENTWA T/A KS ACTIVE,KALM COLLECTIVE (PTY) LTD,KALM COLLECTIVE (PTY) LTD,KS Active,KS Active Archive,True,low_stock
P003,KS Active Rib Scrunch Legging,ks-active-rib-scrunch-legging,KS-ARCH-P003-BLCKB-L,Black,L,1,160.0,160.0,499.0,January 2023 Order.xlsx family: seamless-high-stretch-scrunch-butt-leggings,seamless-high-stretch-scrunch-butt-leggings,Direct January 2023 family match,False,K SENTWA T/A KS ACTIVE,KALM COLLECTIVE (PTY) LTD,KALM COLLECTIVE (PTY) LTD,KS Active,KS Active Archive,True,low_stock
P003,KS Active Rib Scrunch Legging,ks-active-rib-scrunch-legging,KS-ARCH-P003-BLCKB-M,Black,S,1,160.0,160.0,499.0,January 2023 Order.xlsx family: seamless-high-stretch-scrunch-butt-leggings,seamless-high-stretch-scrunch-butt-leggings,Direct January 2023 family match,False,K SENTWA T/A KS ACTIVE,KALM COLLECTIVE (PTY) LTD,KALM COLLECTIVE (PTY) LTD,KS Active,KS Active Archive,True,low_stock
