Item Name,SKU,Item Description,Selling Price,Product Type,Item Type,Track Inventory,Status,Unit,Sellable,Purchasable,Sales Account,Purchase Description,Purchase Price,Purchase Account,Inventory Account,Opening Stock,Opening Stock Value,Preferred Vendor,Brand,CF.Product Code,CF.Category,CF.Colour,CF.Size
KS Active Halter Back Romper - Army Green - L,KS-ARCH-P002-ARMGR-L,KS Active Archive item sold by KALM Collective. Product code: P002. Colour: Army Green. Size: L. Route: /product/ks-active-halter-back-romper,799.00,goods,Inventory,true,Active,pcs,true,true,Product Sales,KS Active Archive stock transfer from K SENTWA T/A KS ACTIVE. Product code: P002.,220.00,Cost of Goods Sold,Inventory Asset,1,220.00,K SENTWA T/A KS ACTIVE,KS Active,P002,KS Active Archive,Army Green,L
KS Active Halter Back Romper - Army Green - M,KS-ARCH-P002-ARMGR-M,KS Active Archive item sold by KALM Collective. Product code: P002. Colour: Army Green. Size: M. Route: /product/ks-active-halter-back-romper,799.00,goods,Inventory,true,Active,pcs,true,true,Product Sales,KS Active Archive stock transfer from K SENTWA T/A KS ACTIVE. Product code: P002.,220.00,Cost of Goods Sold,Inventory Asset,1,220.00,K SENTWA T/A KS ACTIVE,KS Active,P002,KS Active Archive,Army Green,M
KS Active Halter Back Romper - Army Green - S,KS-ARCH-P002-ARMGR-S,KS Active Archive item sold by KALM Collective. Product code: P002. Colour: Army Green. Size: S. Route: /product/ks-active-halter-back-romper,799.00,goods,Inventory,true,Active,pcs,true,true,Product Sales,KS Active Archive stock transfer from K SENTWA T/A KS ACTIVE. Product code: P002.,220.00,Cost of Goods Sold,Inventory Asset,1,220.00,K SENTWA T/A KS ACTIVE,KS Active,P002,KS Active Archive,Army Green,S
KS Active Halter Back Romper - Egyptian Blue - M,KS-ARCH-P002-EGYBL-M,KS Active Archive item sold by KALM Collective. Product code: P002. Colour: Egyptian Blue. Size: M. Route: /product/ks-active-halter-back-romper,799.00,goods,Inventory,true,Active,pcs,true,true,Product Sales,KS Active Archive stock transfer from K SENTWA T/A KS ACTIVE. Product code: P002.,220.00,Cost of Goods Sold,Inventory Asset,2,440.00,K SENTWA T/A KS ACTIVE,KS Active,P002,KS Active Archive,Egyptian Blue,M
KS Active Halter Back Romper - Electric Violet - M,KS-ARCH-P002-ELEVI-M,KS Active Archive item sold by KALM Collective. Product code: P002. Colour: Electric Violet. Size: M. Route: /product/ks-active-halter-back-romper,799.00,goods,Inventory,true,Active,pcs,true,true,Product Sales,KS Active Archive stock transfer from K SENTWA T/A KS ACTIVE. Product code: P002.,220.00,Cost of Goods Sold,Inventory Asset,1,220.00,K SENTWA T/A KS ACTIVE,KS Active,P002,KS Active Archive,Electric Violet,M
KS Active Halter Back Romper - Electric Violet - S,KS-ARCH-P002-ELEVI-S,KS Active Archive item sold by KALM Collective. Product code: P002. Colour: Electric Violet. Size: S. Route: /product/ks-active-halter-back-romper,799.00,goods,Inventory,true,Active,pcs,true,true,Product Sales,KS Active Archive stock transfer from K SENTWA T/A KS ACTIVE. Product code: P002.,220.00,Cost of Goods Sold,Inventory Asset,1,220.00,K SENTWA T/A KS ACTIVE,KS Active,P002,KS Active Archive,Electric Violet,S
KS Active Halter Back Romper - Imperial Red - M,KS-ARCH-P002-IMPRE-M,KS Active Archive item sold by KALM Collective. Product code: P002. Colour: Imperial Red. Size: M. Route: /product/ks-active-halter-back-romper,799.00,goods,Inventory,true,Active,pcs,true,true,Product Sales,KS Active Archive stock transfer from K SENTWA T/A KS ACTIVE. Product code: P002.,220.00,Cost of Goods Sold,Inventory Asset,1,220.00,K SENTWA T/A KS ACTIVE,KS Active,P002,KS Active Archive,Imperial Red,M
KS Active Halter Back Romper - Imperial Red - S,KS-ARCH-P002-IMPRE-S,KS Active Archive item sold by KALM Collective. Product code: P002. Colour: Imperial Red. Size: S. Route: /product/ks-active-halter-back-romper,799.00,goods,Inventory,true,Active,pcs,true,true,Product Sales,KS Active Archive stock transfer from K SENTWA T/A KS ACTIVE. Product code: P002.,220.00,Cost of Goods Sold,Inventory Asset,1,220.00,K SENTWA T/A KS ACTIVE,KS Active,P002,KS Active Archive,Imperial Red,S
KS Active Halter Back Romper - Midnight Black - L,KS-ARCH-P002-MIDBL-L,KS Active Archive item sold by KALM Collective. Product code: P002. Colour: Midnight Black. Size: L. Route: /product/ks-active-halter-back-romper,799.00,goods,Inventory,true,Active,pcs,true,true,Product Sales,KS Active Archive stock transfer from K SENTWA T/A KS ACTIVE. Product code: P002.,220.00,Cost of Goods Sold,Inventory Asset,1,220.00,K SENTWA T/A KS ACTIVE,KS Active,P002,KS Active Archive,Midnight Black,L
KS Active Halter Back Romper - Midnight Black - M,KS-ARCH-P002-MIDBL-M,KS Active Archive item sold by KALM Collective. Product code: P002. Colour: Midnight Black. Size: M. Route: /product/ks-active-halter-back-romper,799.00,goods,Inventory,true,Active,pcs,true,true,Product Sales,KS Active Archive stock transfer from K SENTWA T/A KS ACTIVE. Product code: P002.,220.00,Cost of Goods Sold,Inventory Asset,1,220.00,K SENTWA T/A KS ACTIVE,KS Active,P002,KS Active Archive,Midnight Black,M
KS Active Rib Scrunch Legging - Ash Gray - L,KS-ARCH-P003-ASHGR-L,KS Active Archive item sold by KALM Collective. Product code: P003. Colour: Ash Gray. Size: L. Route: /product/ks-active-rib-scrunch-legging,499.00,goods,Inventory,true,Active,pcs,true,true,Product Sales,KS Active Archive stock transfer from K SENTWA T/A KS ACTIVE. Product code: P003.,160.00,Cost of Goods Sold,Inventory Asset,1,160.00,K SENTWA T/A KS ACTIVE,KS Active,P003,KS Active Archive,Ash Gray,L
KS Active Rib Scrunch Legging - Ash Gray - M,KS-ARCH-P003-ASHGR-M,KS Active Archive item sold by KALM Collective. Product code: P003. Colour: Ash Gray. Size: M. Route: /product/ks-active-rib-scrunch-legging,499.00,goods,Inventory,true,Active,pcs,true,true,Product Sales,KS Active Archive stock transfer from K SENTWA T/A KS ACTIVE. Product code: P003.,160.00,Cost of Goods Sold,Inventory Asset,1,160.00,K SENTWA T/A KS ACTIVE,KS Active,P003,KS Active Archive,Ash Gray,M
KS Active Rib Scrunch Legging - Ash Gray - S,KS-ARCH-P003-ASHGR-S,KS Active Archive item sold by KALM Collective. Product code: P003. Colour: Ash Gray. Size: S. Route: /product/ks-active-rib-scrunch-legging,499.00,goods,Inventory,true,Active,pcs,true,true,Product Sales,KS Active Archive stock transfer from K SENTWA T/A KS ACTIVE. Product code: P003.,160.00,Cost of Goods Sold,Inventory Asset,1,160.00,K SENTWA T/A KS ACTIVE,KS Active,P003,KS Active Archive,Ash Gray,S
KS Active Rib Scrunch Legging - Black - L,KS-ARCH-P003-BLCKB-L,KS Active Archive item sold by KALM Collective. Product code: P003. Colour: Black. Size: L. Route: /product/ks-active-rib-scrunch-legging,499.00,goods,Inventory,true,Active,pcs,true,true,Product Sales,KS Active Archive stock transfer from K SENTWA T/A KS ACTIVE. Product code: P003.,160.00,Cost of Goods Sold,Inventory Asset,1,160.00,K SENTWA T/A KS ACTIVE,KS Active,P003,KS Active Archive,Black,L
KS Active Rib Scrunch Legging - Black - S,KS-ARCH-P003-BLCKB-M,KS Active Archive item sold by KALM Collective. Product code: P003. Colour: Black. Size: S. Route: /product/ks-active-rib-scrunch-legging,499.00,goods,Inventory,true,Active,pcs,true,true,Product Sales,KS Active Archive stock transfer from K SENTWA T/A KS ACTIVE. Product code: P003.,160.00,Cost of Goods Sold,Inventory Asset,1,160.00,K SENTWA T/A KS ACTIVE,KS Active,P003,KS Active Archive,Black,S
KS Active Rib Scrunch Legging - Chestnut - L,KS-ARCH-P003-CHSTN-L,KS Active Archive item sold by KALM Collective. Product code: P003. Colour: Chestnut. Size: L. Route: /product/ks-active-rib-scrunch-legging,499.00,goods,Inventory,true,Active,pcs,true,true,Product Sales,KS Active Archive stock transfer from K SENTWA T/A KS ACTIVE. Product code: P003.,160.00,Cost of Goods Sold,Inventory Asset,1,160.00,K SENTWA T/A KS ACTIVE,KS Active,P003,KS Active Archive,Chestnut,L
