SKU,Item Name,Opening Stock,Opening Stock Value,Purchase Rate,Vendor,Brand,Category
KS-ARCH-P002-ARMGR-L,KS Active Halter Back Romper - Army Green - L,1,220.00,220.00,K SENTWA T/A KS ACTIVE,KS Active,KS Active Archive
KS-ARCH-P002-ARMGR-M,KS Active Halter Back Romper - Army Green - M,1,220.00,220.00,K SENTWA T/A KS ACTIVE,KS Active,KS Active Archive
KS-ARCH-P002-ARMGR-S,KS Active Halter Back Romper - Army Green - S,1,220.00,220.00,K SENTWA T/A KS ACTIVE,KS Active,KS Active Archive
KS-ARCH-P002-EGYBL-M,KS Active Halter Back Romper - Egyptian Blue - M,2,440.00,220.00,K SENTWA T/A KS ACTIVE,KS Active,KS Active Archive
KS-ARCH-P002-ELEVI-M,KS Active Halter Back Romper - Electric Violet - M,1,220.00,220.00,K SENTWA T/A KS ACTIVE,KS Active,KS Active Archive
KS-ARCH-P002-ELEVI-S,KS Active Halter Back Romper - Electric Violet - S,1,220.00,220.00,K SENTWA T/A KS ACTIVE,KS Active,KS Active Archive
KS-ARCH-P002-IMPRE-M,KS Active Halter Back Romper - Imperial Red - M,1,220.00,220.00,K SENTWA T/A KS ACTIVE,KS Active,KS Active Archive
KS-ARCH-P002-IMPRE-S,KS Active Halter Back Romper - Imperial Red - S,1,220.00,220.00,K SENTWA T/A KS ACTIVE,KS Active,KS Active Archive
KS-ARCH-P002-MIDBL-L,KS Active Halter Back Romper - Midnight Black - L,1,220.00,220.00,K SENTWA T/A KS ACTIVE,KS Active,KS Active Archive
KS-ARCH-P002-MIDBL-M,KS Active Halter Back Romper - Midnight Black - M,1,220.00,220.00,K SENTWA T/A KS ACTIVE,KS Active,KS Active Archive
KS-ARCH-P003-ASHGR-L,KS Active Rib Scrunch Legging - Ash Gray - L,1,160.00,160.00,K SENTWA T/A KS ACTIVE,KS Active,KS Active Archive
KS-ARCH-P003-ASHGR-M,KS Active Rib Scrunch Legging - Ash Gray - M,1,160.00,160.00,K SENTWA T/A KS ACTIVE,KS Active,KS Active Archive
KS-ARCH-P003-ASHGR-S,KS Active Rib Scrunch Legging - Ash Gray - S,1,160.00,160.00,K SENTWA T/A KS ACTIVE,KS Active,KS Active Archive
KS-ARCH-P003-BLCKB-L,KS Active Rib Scrunch Legging - Black - L,1,160.00,160.00,K SENTWA T/A KS ACTIVE,KS Active,KS Active Archive
KS-ARCH-P003-BLCKB-M,KS Active Rib Scrunch Legging - Black - S,1,160.00,160.00,K SENTWA T/A KS ACTIVE,KS Active,KS Active Archive
KS-ARCH-P003-CHSTN-L,KS Active Rib Scrunch Legging - Chestnut - L,1,160.00,160.00,K SENTWA T/A KS ACTIVE,KS Active,KS Active Archive
KS-ARCH-P003-CHSTN-M,KS Active Rib Scrunch Legging - Chestnut - M,1,160.00,160.00,K SENTWA T/A KS ACTIVE,KS Active,KS Active Archive
