"FullDrivePath","FileName","Extension","SizeBytes","CreatedTime","ModifiedTime","Sha256","HashError","Width","Height","DetectedFormat","MimeType","ParentFolders","BrandClassification","ProductClassification","LikelyUse","SourceWorkspace","SameHashExistsInCurrentRepository","MatchingRepositoryPaths","ReferencedByCurrentProductsJson","AppearsInGitHistory","AppearsInReportOrManifest","RecoveryStatus","ReviewStatus"
"G:\My Drive\KALM Backups\Developer Machine Bootstrap\20260711-234953\CODEX-TOOLCHAIN.md","CODEX-TOOLCHAIN.md",".md","1457","2026/07/11 22:17:30","2026/07/11 22:16:39","67C0EB8FAF13DEB3E6FEE83C7BE1ED904FB4C586873A7A72EB830794252BE77A",,,,"text/markdown","text/markdown","G:\My Drive\KALM Backups\Developer Machine Bootstrap\20260711-234953","Unclassified","Unclassified","report-or-manifest evidence","KALM Backups","False",,"False","False","False","targeted_drive_inventory","inventory_only"
"G:\My Drive\KALM Backups\Developer Machine Bootstrap\20260711-234953\developer-bootstrap-20260711-234953.json","developer-bootstrap-20260711-234953.json",".json","36663","2026/07/11 22:17:30","2026/07/11 22:17:30","95F4B2A66C813BB76DB7DD283346F6CFBCD99E1F5135CD9B427AF037A6D2621A",,,,"application/json","application/json","G:\My Drive\KALM Backups\Developer Machine Bootstrap\20260711-234953","Unclassified","Unclassified","report-or-manifest evidence","KALM Backups","False",,"False","False","False","targeted_drive_inventory","inventory_only"
"G:\My Drive\KALM Backups\Developer Machine Bootstrap\20260711-234953\developer-bootstrap-20260711-234953.txt","developer-bootstrap-20260711-234953.txt",".txt","1075","2026/07/11 22:17:30","2026/07/11 22:17:30","FF6871D494B791A99186881620633DA95E789AFE628AAFA58EC42A85B6593B58",,,,"text/plain","text/plain","G:\My Drive\KALM Backups\Developer Machine Bootstrap\20260711-234953","Unclassified","Unclassified","report-or-manifest evidence","KALM Backups","False",,"False","False","False","targeted_drive_inventory","inventory_only"
"G:\My Drive\KALM Backups\Developer Machine Bootstrap\20260711-234953\exports\npm-globals-20260711-234953.json","npm-globals-20260711-234953.json",".json","1793","2026/07/11 22:17:30","2026/07/11 22:17:28","3AB3078FC64B444860ACE78FEE03C5DC0407736693E715075CC3AF13EA6A09DB",,,,"application/json","application/json","G:\My Drive\KALM Backups\Developer Machine Bootstrap\20260711-234953\exports","Unclassified","Unclassified","report-or-manifest evidence","KALM Backups","False",,"False","False","False","targeted_drive_inventory","inventory_only"
"G:\My Drive\KALM Backups\Developer Machine Bootstrap\20260711-234953\exports\pipx-tools-20260711-234953.json","pipx-tools-20260711-234953.json",".json","29306","2026/07/11 22:17:30","2026/07/11 22:17:29","9B6ADD3D5E07B5690E58CC23FA76D01E51D47CB7599C578C88CA93F8973DA530",,,,"application/json","application/json","G:\My Drive\KALM Backups\Developer Machine Bootstrap\20260711-234953\exports","Unclassified","Unclassified","report-or-manifest evidence","KALM Backups","False",,"False","False","False","targeted_drive_inventory","inventory_only"
"G:\My Drive\KALM Backups\Developer Machine Bootstrap\20260711-234953\exports\powershell-modules-20260711-234953.json","powershell-modules-20260711-234953.json",".json","3338","2026/07/11 22:17:30","2026/07/11 22:17:29","DE9870248594D0CF12247390FC1CB8094ED84EA6790259DBECF88ABEBC10C971",,,,"application/json","application/json","G:\My Drive\KALM Backups\Developer Machine Bootstrap\20260711-234953\exports","Unclassified","Unclassified","report-or-manifest evidence","KALM Backups","False",,"False","False","False","targeted_drive_inventory","inventory_only"
"G:\My Drive\KALM Backups\Developer Machine Bootstrap\20260711-234953\exports\vscode-extensions-20260711-234953.txt","vscode-extensions-20260711-234953.txt",".txt","841","2026/07/11 22:17:30","2026/07/11 22:17:28","5F094E630D88A0D54A543D5602F65F53854DB3D88FAE8F5ECD22D13E69733D83",,,,"text/plain","text/plain","G:\My Drive\KALM Backups\Developer Machine Bootstrap\20260711-234953\exports","Unclassified","Unclassified","report-or-manifest evidence","KALM Backups","False",,"False","False","False","targeted_drive_inventory","inventory_only"
"G:\My Drive\KALM Backups\Developer Machine Bootstrap\20260711-234953\exports\winget-after-20260711-234953.json","winget-after-20260711-234953.json",".json","5682","2026/07/11 22:17:30","2026/07/11 22:17:21","BD6A42CD7D8F4A7AADEB6BAAF56FD0A83F22FCBA75F5982A0647A1DD0CC6B19D",,,,"application/json","application/json","G:\My Drive\KALM Backups\Developer Machine Bootstrap\20260711-234953\exports","Unclassified","Unclassified","report-or-manifest evidence","KALM Backups","False",,"False","False","False","targeted_drive_inventory","inventory_only"
"G:\My Drive\KALM Backups\Developer Machine Bootstrap\20260711-234953\exports\winget-before-20260711-234953.json","winget-before-20260711-234953.json",".json","3842","2026/07/11 22:17:30","2026/07/11 21:50:13","DE04B7368400E98615F0A75AE78730C6C64B76B18058AEB70B4ECFAD84ED3F36",,,,"application/json","application/json","G:\My Drive\KALM Backups\Developer Machine Bootstrap\20260711-234953\exports","Unclassified","Unclassified","report-or-manifest evidence","KALM Backups","False",,"False","False","False","targeted_drive_inventory","inventory_only"
"G:\My Drive\KALM Backups\Developer Machine Bootstrap\20260711-234953\LOGIN-CHECKLIST.txt","LOGIN-CHECKLIST.txt",".txt","396","2026/07/11 22:17:30","2026/07/11 22:16:39","7A38DA415B1B2565D18C0A5CA42C16C10896D371A9E7E4843D051DBD1693604C",,,,"text/plain","text/plain","G:\My Drive\KALM Backups\Developer Machine Bootstrap\20260711-234953","Unclassified","Unclassified","report-or-manifest evidence","KALM Backups","False",,"False","False","False","targeted_drive_inventory","inventory_only"
